crop,feature1,feature2,value1,value2,predicted_yield
CORN,ph_mean,TMAX_MAX,6.857,36.232,165.99
CORN,ph_mean,TMAX_MAX,6.857,37.514,154.61
CORN,ph_mean,TMAX_MAX,6.857,38.795,148.16
CORN,ph_mean,TMAX_MAX,6.857,40.077,147.15
CORN,ph_mean,TMAX_MAX,6.857,41.359,146.87
CORN,ph_mean,TMAX_MAX,6.857,42.641,146.45
CORN,ph_mean,TMAX_MAX,6.857,43.923,145.93
CORN,ph_mean,TMAX_MAX,7.022,32.386,156.96
CORN,ph_mean,TMAX_MAX,7.022,33.668,160.71
CORN,ph_mean,TMAX_MAX,7.022,34.95,161.28
CORN,ph_mean,TMAX_MAX,7.022,36.232,160.61
CORN,ph_mean,TMAX_MAX,7.022,37.514,150.15
CORN,ph_mean,TMAX_MAX,7.022,38.795,143.27
CORN,ph_mean,TMAX_MAX,7.022,40.077,142.68
CORN,ph_mean,TMAX_MAX,7.022,41.359,142.11
CORN,ph_mean,TMAX_MAX,7.022,42.641,141.6
CORN,ph_mean,TMAX_MAX,7.022,43.923,141.21
CORN,ph_mean,TMAX_MAX,7.186,32.386,144.08
CORN,ph_mean,TMAX_MAX,7.186,33.668,144.38
CORN,ph_mean,TMAX_MAX,7.186,34.95,143.12
CORN,ph_mean,TMAX_MAX,7.186,36.232,140.74
CORN,ph_mean,TMAX_MAX,7.186,37.514,129.35
CORN,ph_mean,TMAX_MAX,7.186,38.795,124.01
CORN,ph_mean,TMAX_MAX,7.186,40.077,123.37
CORN,ph_mean,TMAX_MAX,7.186,41.359,121.95
CORN,ph_mean,TMAX_MAX,7.186,42.641,121.29
CORN,ph_mean,TMAX_MAX,7.186,43.923,121.03
CORN,ph_mean,TMAX_MAX,7.351,32.386,143.01
CORN,ph_mean,TMAX_MAX,7.351,33.668,143.1
CORN,ph_mean,TMAX_MAX,7.351,34.95,141.75
CORN,ph_mean,TMAX_MAX,7.351,36.232,139.33
CORN,ph_mean,TMAX_MAX,7.351,37.514,128.72
CORN,ph_mean,TMAX_MAX,7.351,38.795,123.66
CORN,ph_mean,TMAX_MAX,7.351,40.077,123.08
CORN,ph_mean,TMAX_MAX,7.351,41.359,121.64
CORN,ph_mean,TMAX_MAX,7.351,42.641,120.93
CORN,ph_mean,TMAX_MAX,7.351,43.923,120.65
OATS,clay_mean,ph_mean,14.22,5.88,55.65
OATS,clay_mean,ph_mean,14.22,6.039,55.39
OATS,clay_mean,ph_mean,14.22,6.198,56.12
OATS,clay_mean,ph_mean,14.22,6.357,55.67
OATS,clay_mean,ph_mean,14.22,6.516,55.89
OATS,clay_mean,ph_mean,14.22,6.676,56.61
OATS,clay_mean,ph_mean,14.22,6.835,57.19
OATS,clay_mean,ph_mean,14.22,6.994,57.43
OATS,clay_mean,ph_mean,14.22,7.153,57.36
OATS,clay_mean,ph_mean,14.22,7.312,57.27
OATS,clay_mean,ph_mean,15.998,5.88,56.16
OATS,clay_mean,ph_mean,15.998,6.039,55.85
OATS,clay_mean,ph_mean,15.998,6.198,56.72
OATS,clay_mean,ph_mean,15.998,6.357,56.12
OATS,clay_mean,ph_mean,15.998,6.516,56.23
OATS,clay_mean,ph_mean,15.998,6.676,57.0
OATS,clay_mean,ph_mean,15.998,6.835,57.59
OATS,clay_mean,ph_mean,15.998,6.994,57.82
OATS,clay_mean,ph_mean,15.998,7.153,57.76
OATS,clay_mean,ph_mean,15.998,7.312,57.67
OATS,clay_mean,ph_mean,17.776,5.88,56.47
OATS,clay_mean,ph_mean,17.776,6.039,56.23
OATS,clay_mean,ph_mean,17.776,6.198,57.1
OATS,clay_mean,ph_mean,17.776,6.357,57.43
OATS,clay_mean,ph_mean,17.776,6.516,57.72
OATS,clay_mean,ph_mean,17.776,6.676,58.36
OATS,clay_mean,ph_mean,17.776,6.835,58.75
OATS,clay_mean,ph_mean,17.776,6.994,58.98
OATS,clay_mean,ph_mean,17.776,7.153,58.92
OATS,clay_mean,ph_mean,17.776,7.312,58.83
OATS,clay_mean,ph_mean,19.553,5.88,62.36
OATS,clay_mean,ph_mean,19.553,6.039,62.36
OATS,clay_mean,ph_mean,19.553,6.198,64.31
OATS,clay_mean,ph_mean,19.553,6.357,64.19
OATS,clay_mean,ph_mean,19.553,6.516,64.34
OATS,clay_mean,ph_mean,19.553,6.676,64.16
OATS,clay_mean,ph_mean,19.553,6.835,64.9
OATS,clay_mean,ph_mean,19.553,6.994,65.09
OATS,clay_mean,ph_mean,19.553,7.153,64.91
OATS,clay_mean,ph_mean,19.553,7.312,64.87
OATS,clay_mean,ph_mean,21.331,5.88,62.87
OATS,clay_mean,ph_mean,21.331,6.039,63.04
OATS,clay_mean,ph_mean,21.331,6.198,65.53
OATS,clay_mean,ph_mean,21.331,6.357,65.51
OATS,clay_mean,ph_mean,21.331,6.516,65.79
OATS,clay_mean,ph_mean,21.331,6.676,65.68
OATS,clay_mean,ph_mean,21.331,6.835,66.28
OATS,clay_mean,ph_mean,21.331,6.994,66.84
OATS,clay_mean,ph_mean,21.331,7.153,66.54
OATS,clay_mean,ph_mean,21.331,7.312,66.51
OATS,clay_mean,ph_mean,23.109,5.88,62.83
OATS,clay_mean,ph_mean,23.109,6.039,63.04
OATS,clay_mean,ph_mean,23.109,6.198,67.46
OATS,clay_mean,ph_mean,23.109,6.357,68.5
OATS,clay_mean,ph_mean,23.109,6.516,68.54
OATS,clay_mean,ph_mean,23.109,6.676,68.65
OATS,clay_mean,ph_mean,23.109,6.835,69.82
OATS,clay_mean,ph_mean,23.109,6.994,70.28
OATS,clay_mean,ph_mean,23.109,7.153,69.68
OATS,clay_mean,ph_mean,23.109,7.312,69.66
OATS,clay_mean,ph_mean,24.887,5.88,63.79
OATS,clay_mean,ph_mean,24.887,6.039,63.86
OATS,clay_mean,ph_mean,24.887,6.198,67.97
OATS,clay_mean,ph_mean,24.887,6.357,69.48
OATS,clay_mean,ph_mean,24.887,6.516,69.91
OATS,clay_mean,ph_mean,24.887,6.676,70.36
OATS,clay_mean,ph_mean,24.887,6.835,71.86
OATS,clay_mean,ph_mean,24.887,6.994,72.09
OATS,clay_mean,ph_mean,24.887,7.153,71.02
OATS,clay_mean,ph_mean,24.887,7.312,70.97
OATS,clay_mean,ph_mean,26.665,5.88,63.68
OATS,clay_mean,ph_mean,26.665,6.039,63.67
