county_fips,county_name,state_abbr,clay_mean,silt_mean,sand_mean,ph_mean,soc_mean,bdod_mean
48301,Loving,TX,21.394900778169088,35.39672705033847,43.208931019211704,7.79726691832388,10.305067588941142,1.4480531010776272
48233,Hutchinson,TX,28.28964691242806,42.68375486078706,29.026699331155704,7.393888629646912,17.372121636335358,1.5102272515165653
48283,La Salle,TX,32.16370359857445,30.49855552401678,37.337580029646446,7.310019869429463,18.386491941842497,1.5574598669063613
48465,Val Verde,TX,31.998842822191364,37.55596552712204,30.445264387577417,7.6725208843042605,33.1170909651965,1.4269305032070358
48015,Austin,TX,26.037134011499337,37.62660474716203,36.33679492849772,6.233180008845643,37.40256228807313,1.5324985994397757
48125,Dickens,TX,27.975320261437908,37.38339869281046,34.64106881968474,7.547307958477509,24.13854517493272,1.5164544405997693
48279,Lamb,TX,23.981351180665733,25.2487638822569,50.7698479690701,7.404848970286965,14.609077186118515,1.4806142850541428
48141,El Paso,TX,19.68687840777046,24.118630634925363,56.194496916247054,8.256219646634687,6.9908053511307084,1.440150165360665
48269,King,TX,29.795384237285532,42.6706265456277,27.53416432422469,7.550312581601462,24.998052317097525,1.5046818118980694
48171,Gillespie,TX,31.253202399080145,37.634497653749335,31.112671307374377,6.965600236178875,41.63352652350912,1.5294872432331643
48395,Robertson,TX,21.884951386698024,26.25884647374308,51.85591820345886,6.041078957180142,34.60857544382941,1.4907181575701953
48451,Tom Green,TX,34.44550008840691,41.76797312430011,23.78639417693169,7.62495137620086,28.02840808628514,1.503385100489185
48261,Kenedy,TX,12.559639339513327,10.433792004634993,77.00646485129394,7.126383256083431,23.090362841899427,1.5472145909277455
48425,Somervell,TX,28.49929630750605,41.67617534301856,29.824669592413237,7.110068603712672,36.28172921711057,1.5184960149313964
48423,Smith,TX,14.008434879303156,28.663207153778437,57.32877032849929,5.463251169902238,36.28320437381272,1.396954084232961
48501,Yoakum,TX,15.96541559924689,15.425355720855583,68.60899719127134,7.559720979042564,13.29150128090373,1.5034254143646408
48183,Gregg,TX,17.07647816565761,34.269122761818885,48.65434110524282,5.464610975138477,33.759490532010815,1.3628452273605562
48025,Bee,TX,26.34791083781706,22.963200614911607,50.68920830130669,6.9026287471176015,30.07350653343582,1.5786106072252113
48033,Borden,TX,27.653546399691955,30.39132075471698,41.95488794763188,7.732951867539468,15.58891028109357,1.5354113207547169
48069,Castro,TX,29.3437224178494,32.807742223179005,37.84825396337244,7.288121415281472,17.274983469930653,1.465349745513816
48455,Trinity,TX,13.026230932901793,33.27049357187809,53.703116665168274,5.279765650753694,36.82248194431958,1.3785189846863855
48043,Brewster,TX,23.891221393543113,32.959016142214956,43.150007662443805,7.856247445852064,16.04650847977115,1.4046383326522272
48411,San Saba,TX,32.44478366656088,34.01191156246694,33.54291336083783,6.956743890828308,34.01656405373955,1.5550202052258542
48051,Burleson,TX,27.480437307049595,31.072212309173818,41.44671594867873,6.253000821366868,37.178143144418954,1.5249613391112242
48393,Roberts,TX,26.786182425700844,38.9481384976166,34.26561010376592,7.297688640926997,18.816711371334854,1.4964259767331363
48487,Wilbarger,TX,28.291077222582736,44.53658744321869,27.172588822193383,7.145611615833874,17.630939730694354,1.5624213173264117
48429,Stephens,TX,33.740335186780484,43.1793311927324,23.080830135484376,7.25837732007205,26.768302921137128,1.552567311457436
48285,Lavaca,TX,19.793390375414525,24.25699820266815,55.94965192517024,6.250436675695516,36.18041161430777,1.5580897653342785
48175,Goliad,TX,21.63056948064969,20.277524062562662,58.092031782634855,6.482426809705234,35.71621465811109,1.567747894525767
